textbox3,Month,Year,Date,CropNameUrdu,textbox2
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Rice (IRRI),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Rice Basmati (385),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Rice Basmati Super (Old),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Rice Basmati Super (New),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Rice Kainat (New),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Sorghum,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Suger Beet(چقندر),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Gram White(Imported),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Gram White(local),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,green chickpeas(چھولیا),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Sugar,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Pumpkin,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Melon,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Apricot Yellow,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Apricot White,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Gram Pulse,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Mash Pulse(Imported) washed,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Mash Pulse(local),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Masoor Pulse(local),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Moong Pulse,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Coriander (دھنیا),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Mustard Greens(ساگ سرسوں),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Green Onion,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Red Chilli Whole (Dry),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Mustard seed,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Water chestnut(سنگھاڑا),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Apple (Ammre),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Apple Kala Kullu (Madani),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Apple Kala Kullu (Pahari),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Apple (Gatcha),"10,455.00"
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Apple (Golden),"5,000.00"
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Sweet Potato(شکر قندی),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Turnip,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Capsicum (شملہ مرچ),"8,637.00"
HaroonAbad    View Graph,September - 2008,September,4-September-2020,feutral early(100 Pcs) فروٹر,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Gram Black,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Bottle Gourd (کدو),"5,228.00"
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Bitter Gourd (کریلا),"8,637.00"
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Dates (Aseel),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Banola Cake,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Cucumber (Kheera),"4,318.00"
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Kinnow (100Pcs),NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Carrot,"4,091.00"
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Carrot China,NA
HaroonAbad    View Graph,September - 2008,September,4-September-2020,Sweet Musk Melon,NA
