textbox3,Month,Year,Date,CropNameUrdu,textbox2
Yazman    View Graph,September - 2007,September,4-September-2018,Jaman,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Rice (IRRI),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Rice Basmati (385),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Rice Basmati Super (Old),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Rice Basmati Super (New),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Sorghum,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Suger Beet(چقندر),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Gram White(Imported),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Gram White(local),NA
Yazman    View Graph,September - 2007,September,4-September-2018,green chickpeas(چھولیا),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Sugar,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Pumpkin,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Melon,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Apricot Yellow,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Apricot White,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Gram Pulse,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Mash Pulse(Imported) washed,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Mash Pulse(local),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Masoor Pulse(local),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Moong Pulse,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Coriander (دھنیا),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Mustard Greens(ساگ سرسوں),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Green Onion,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Red Chilli Whole (Dry),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Apple (Ammre),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Apple Kala Kullu (Madani),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Apple Kala Kullu (Pahari),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Apple (Gatcha),"13,050.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Apple (Golden),"6,300.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Sweet Potato(شکر قندی),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Turnip,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Capsicum (شملہ مرچ),"8,300.00"
Yazman    View Graph,September - 2007,September,4-September-2018,feutral early(100 Pcs) فروٹر,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Gram Black,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Bottle Gourd (کدو),"2,550.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Bitter Gourd (کریلا),"9,300.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Dates (Aseel),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Banola Cake,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Cucumber (Kheera),"3,550.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Kinnow (100Pcs),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Carrot,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Carrot China,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Sweet Musk Melon,"8,550.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Sweet Musk Melon (Shireen),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Grapefruit(100Pcs),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Wheat,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Cabbage,"7,300.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Jaggery (گڑ),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Zucchini (گھیا توری),"2,550.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Loquat,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Garlic (China),"7,300.00"
Yazman    View Graph,September - 2007,September,4-September-2018,Garlic (Local),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Lemon (Other),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Lemon (China),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Lemon (Desi),NA
Yazman    View Graph,September - 2007,September,4-September-2018,Mash,NA
Yazman    View Graph,September - 2007,September,4-September-2018,Orange(100Pcs),NA
