textbox3,Month,Year,Date,CropNameUrdu,textbox2
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Onion,"3,800.00"
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Watermelon,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,RapeSeed (Torya),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Turmeric Whole(ثابت ہلدی),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Persimmon(جاپانی پھل),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Jaman,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Rice Basmati Super (Old),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Rice Basmati Super (New),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Rice Kainat (New),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Sorghum,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Gram White(Imported),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Gram White(local),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Sugar,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Pumpkin,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Melon,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Apricot Yellow,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Apricot White,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Gram Pulse,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Mash Pulse(Imported) washed,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Mash Pulse(local),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Masoor Pulse(local),NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Moong Pulse,NA
Qiladedarsingh    View Graph,September - 2016,September,7-September-2015,Coriander (دھنیا),NA
