textbox3,Month,Year,Date,CropNameUrdu,textbox2
Alipur    View Graph,April - 2015,April,1-April-2015,Banana(DOZEN),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Ginger (Thai),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Ginger(China),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Cocoyam(اروی),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Strawberry,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Potato Store,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Potato Fresh,"1,100.00"
Alipur    View Graph,April - 2015,April,1-April-2015,Mango(Chounsa),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Mango(Sindhri),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Guava,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Pomegranate(Kandhari),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Grapes (Other),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Grapes Sundekhani,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Grapes Gola,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Lady Finger/Okra (بھنڈی توری),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Wheat Straw,NA
Alipur    View Graph,April - 2015,April,1-April-2015,jujube(بیر),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Gram Flour (بیسن),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Brinjal,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Spinach,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Mint(پودینہ),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Cauliflower,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Onion,"1,800.00"
Alipur    View Graph,April - 2015,April,1-April-2015,Watermelon,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Rice Basmati Super (Old),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Rice Basmati Super (New),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Gram White(Imported),NA
Alipur    View Graph,April - 2015,April,1-April-2015,Sugar,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Pumpkin,NA
Alipur    View Graph,April - 2015,April,1-April-2015,Melon,NA
