textbox3,Month,Year,Date,CropNameUrdu,textbox2
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Banana(DOZEN),58.00
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Ginger (Thai),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Ginger(China),"4,750.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Cocoyam(اروی),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Strawberry,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Potato Store,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Potato Sugar free,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Potato Fresh,"1,500.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mango (Malda),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mango(Anwer Ratol),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mango(Chounsa),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mango(Desahri),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mango Desi,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mango(Sindhri),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mango Saharni,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Guava,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Pomegranate(Badana),"25,250.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Pomegranate Desi,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Pomegranate(Kandhari),"16,000.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Grapes (Other),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Grapes Sundekhani,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Grapes Gola,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Peach,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Peach Special,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Millet,"2,250.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Lady Finger/Okra (بھنڈی توری),"9,550.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Wheat Straw,585.00
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Gram Flour (بیسن),"8,838.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Brinjal,"4,825.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Spinach,450.00
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Papaya(پپیتا),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Cauliflower,388.00
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Onion,"1,500.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Watermelon,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,RapeSeed (Torya),"6,350.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Rice Basmati (385),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Rice Basmati Super (Old),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Rice Basmati Super (New),"7,700.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Sorghum,"3,100.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Gram White(Imported),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Gram White(local),"9,950.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Sugar,"5,330.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Pumpkin,"3,025.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Melon,"3,800.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Apricot Yellow,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Apricot White,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Gram Pulse,"8,600.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mash Pulse(Imported) washed,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mash Pulse(local),"12,300.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Masoor Pulse(local),"8,850.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Moong Pulse,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Coriander (دھنیا),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mustard Greens(ساگ سرسوں),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Green Fodder,220.00
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Red Chilli Whole (Dry),"16,350.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Apple (Ammre),"8,100.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Apple Kala Kullu (Madani),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Apple Kala Kullu (Pahari),"15,025.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Apple (Gatcha),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Apple (Golden),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Turnip,"1,000.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Capsicum (شملہ مرچ),"3,250.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,feutral early(100 Pcs) فروٹر,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Gram Black,"8,600.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Bottle Gourd (کدو),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Bitter Gourd (کریلا),"9,750.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Dates (Aseel),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Banola Cake,"1,825.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Cucumber (Kheera),"2,005.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Kinnow (100Pcs),570.00
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Carrot,"2,260.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Grapefruit(100Pcs),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Wheat,"2,650.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Cabbage,458.00
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Jaggery (گڑ),"4,650.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Zucchini (گھیا توری),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Garlic (China),"7,750.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Garlic (Local),"3,250.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Lemon (China),"4,750.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Lemon (Desi),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mash,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Orange(100Pcs),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Musambi(100Pcs),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Masoor Whole (Imported),"6,800.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Masoor Pulse (Imported),"7,000.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Maize,"2,400.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Radish,725.00
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Paddy Basmati,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Moong,"8,900.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Mongray,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Peas,"2,750.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Fenugreek(میتھی),NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Pear,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Tomato,"5,800.00"
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Tinda Desi,NA
AliPurChatta    View Graph,April - 2012,April,2-April-2012,Green Chilli,"8,500.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Banana(DOZEN),58.00
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Ginger (Thai),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Ginger(China),"4,750.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Cocoyam(اروی),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Strawberry,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Potato Store,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Potato Sugar free,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Potato Fresh,"1,600.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Mango (Malda),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Mango(Anwer Ratol),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Mango(Chounsa),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Mango(Desahri),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Mango Desi,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Mango(Sindhri),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Mango Saharni,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Guava,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Pomegranate(Badana),"26,250.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Pomegranate Desi,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Pomegranate(Kandhari),"16,000.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Grapes (Other),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Grapes Sundekhani,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Grapes Gola,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Peach,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Peach Special,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Millet,"2,225.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Lady Finger/Okra (بھنڈی توری),"9,900.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Wheat Straw,568.00
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Gram Flour (بیسن),"9,250.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Brinjal,"4,250.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Spinach,450.00
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Papaya(پپیتا),NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Cauliflower,560.00
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Onion,"1,650.00"
AliPurChatta    View Graph,April - 2012,April,3-April-2012,Watermelon,NA
AliPurChatta    View Graph,April - 2012,April,3-April-2012,RapeSeed (Torya),"6,300.00"
